antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Above_2Cr', 'House'})",frozenset({'Kakinada'}),0.020905923344947737,0.1289198606271777,0.020905923344947737,1.0,7.756756756756757,1.0,0.018210734621034615,inf,0.8896797153024912,0.16216216216216217,1.0,0.5810810810810811
"frozenset({'Land', '0BHK'})",frozenset({'Chennai'}),0.05574912891986063,0.06968641114982578,0.027874564459930314,0.5,7.175000000000001,1.0,0.023989607740776263,1.8606271777003485,0.9114391143911439,0.2857142857142857,0.46254681647940077,0.45
frozenset({'Land'}),frozenset({'Chennai'}),0.05574912891986063,0.06968641114982578,0.027874564459930314,0.5,7.175000000000001,1.0,0.023989607740776263,1.8606271777003485,0.9114391143911439,0.2857142857142857,0.46254681647940077,0.45
frozenset({'Villa'}),frozenset({'Kakinada'}),0.03832752613240418,0.1289198606271777,0.03484320557491289,0.9090909090909091,7.051597051597051,1.0,0.029902026247738835,9.581881533101042,0.8923913043478262,0.2631578947368421,0.8956363636363637,0.5896805896805897
"frozenset({'2BHK', '50L_1Cr'})","frozenset({'2, 3 BHK Apartment'})",0.10452961672473868,0.07317073170731707,0.05226480836236934,0.5,6.833333333333334,1.0,0.044616299821534804,1.853658536585366,0.953307392996109,0.4166666666666668,0.4605263157894737,0.6071428571428572
"frozenset({'2, 3 BHK Apartment'})","frozenset({'2BHK', '50L_1Cr'})",0.07317073170731707,0.10452961672473868,0.05226480836236934,0.7142857142857143,6.833333333333333,1.0,0.044616299821534804,3.1341463414634148,0.9210526315789473,0.4166666666666668,0.6809338521400778,0.6071428571428572
frozenset({'House'}),frozenset({'Kakinada'}),0.027874564459930314,0.1289198606271777,0.024390243902439025,0.875,6.787162162162162,1.0,0.02079665893722153,6.968641114982578,0.8771121351766513,0.1842105263157895,0.8565,0.5320945945945946
"frozenset({'50L_1Cr', 'Flat'})",frozenset({'Kakinada'}),0.024390243902439025,0.1289198606271777,0.020905923344947737,0.8571428571428572,6.648648648648649,1.0,0.017761536500382428,6.097560975609759,0.8708333333333335,0.15789473684210528,0.8360000000000001,0.5096525096525097
"frozenset({'5BHK', 'Above_2Cr'})",frozenset({'Kakinada'}),0.024390243902439025,0.1289198606271777,0.020905923344947737,0.8571428571428572,6.648648648648649,1.0,0.017761536500382428,6.097560975609759,0.8708333333333335,0.15789473684210528,0.8360000000000001,0.5096525096525097
frozenset({'Flat'}),frozenset({'Kakinada'}),0.03832752613240418,0.1289198606271777,0.0313588850174216,0.8181818181818182,6.346437346437347,1.0,0.026417705690247546,4.7909407665505235,0.8760064412238326,0.23076923076923078,0.7912727272727275,0.5307125307125308
"frozenset({'Chennai', 'Land'})","frozenset({'0BHK', 'Under_50L'})",0.027874564459930314,0.12195121951219512,0.020905923344947737,0.7500000000000001,6.150000000000001,1.0,0.017506586215687944,3.5121951219512213,0.861409796893668,0.16216216216216217,0.7152777777777779,0.4607142857142858
"frozenset({'Jalpaiguri', '0BHK'})",frozenset({'Residential land / Plot'}),0.020905923344947737,0.16376306620209058,0.020905923344947737,1.0,6.1063829787234045,1.0,0.017482305236193228,inf,0.8540925266903915,0.12765957446808512,1.0,0.5638297872340425
"frozenset({'Hyderabad', '0BHK'})",frozenset({'Residential land / Plot'}),0.027874564459930314,0.16376306620209058,0.027874564459930314,1.0,6.1063829787234045,1.0,0.023309740314924304,inf,0.8602150537634409,0.17021276595744683,1.0,0.5851063829787234
"frozenset({'3, 4 BHK Apartment'})","frozenset({'Above_2Cr', '3BHK'})",0.06620209059233449,0.0975609756097561,0.03832752613240418,0.5789473684210527,5.934210526315789,1.0,0.03186878558681057,2.1432926829268295,0.8904341926729986,0.3055555555555555,0.5334281650071124,0.4859022556390977
"frozenset({'Visakhapatnam', '0BHK'})",frozenset({'Residential land / Plot'}),0.03484320557491289,0.16376306620209058,0.0313588850174216,0.9,5.495744680851065,1.0,0.025652854836164092,8.362369337979096,0.8475732049739271,0.1875,0.8804166666666667,0.5457446808510639
frozenset({'5BHK'}),frozenset({'Kakinada'}),0.03484320557491289,0.1289198606271777,0.024390243902439025,0.7000000000000001,5.42972972972973,1.0,0.019898262695917154,2.903600464576075,0.8452810727178959,0.17500000000000002,0.6556000000000002,0.4445945945945946
frozenset({'Land'}),"frozenset({'0BHK', 'Under_50L'})",0.05574912891986063,0.12195121951219512,0.03484320557491289,0.625,5.125,1.0,0.0280445313163933,2.341463414634146,0.8523985239852399,0.24390243902439024,0.5729166666666666,0.45535714285714285
"frozenset({'1Cr_2Cr', '0BHK'})",frozenset({'Residential land / Plot'}),0.041811846689895474,0.16376306620209058,0.0313588850174216,0.7499999999999999,4.579787234042553,1.0,0.024511648799912588,3.3449477351916364,0.8157575757575758,0.18000000000000002,0.7010416666666666,0.4707446808510638
"frozenset({'Above_2Cr', '0BHK'})",frozenset({'Residential land / Plot'}),0.05574912891986063,0.16376306620209058,0.03832752613240418,0.6875,4.198138297872341,1.0,0.02919787784239216,2.6759581881533103,0.8067762495806776,0.21153846153846154,0.6263020833333334,0.4607712765957447
"frozenset({'50L_1Cr', '0BHK'})",frozenset({'Residential land / Plot'}),0.03832752613240418,0.16376306620209058,0.024390243902439025,0.6363636363636365,3.88588007736944,1.0,0.01811361070305576,2.2996515679442515,0.772256728778468,0.13725490196078433,0.5651515151515153,0.3926499032882012
frozenset({'Land'}),frozenset({'0BHK'}),0.05574912891986063,0.2578397212543554,0.05574912891986063,1.0,3.8783783783783785,1.0,0.04137478905899064,inf,0.7859778597785978,0.21621621621621623,1.0,0.6081081081081081
frozenset({'0BHK'}),frozenset({'Residential land / Plot'}),0.2578397212543554,0.16376306620209058,0.16376306620209058,0.6351351351351351,3.8783783783783785,1.0,0.121538442860785,2.2919086333720475,1.0,0.6351351351351351,0.5636824324324324,0.8175675675675675
frozenset({'Plot/Land'}),frozenset({'0BHK'}),0.0313588850174216,0.2578397212543554,0.0313588850174216,1.0,3.8783783783783785,1.0,0.023273318845682234,inf,0.7661870503597121,0.12162162162162163,1.0,0.5608108108108109
"frozenset({'Noida Greater Noida Expressway', 'Apartment'})",frozenset({'Under_50L'}),0.027874564459930314,0.2578397212543554,0.027874564459930314,1.0,3.8783783783783785,1.0,0.02068739452949532,inf,0.7634408602150538,0.10810810810810811,1.0,0.5540540540540541
"frozenset({'Noida Greater Noida Expressway', 'Noida'})",frozenset({'Under_50L'}),0.027874564459930314,0.2578397212543554,0.027874564459930314,1.0,3.8783783783783785,1.0,0.02068739452949532,inf,0.7634408602150538,0.10810810810810811,1.0,0.5540540540540541
